genotype	texture	date_plate	avg6	avg1
ORL	smooth	dec_1_1_1	109.897	16.279
ORL	smooth	dec_1_1_1	37.323	20.809
ORL	smooth	dec_1_1_1	30.222	19.313
ORL	smooth	dec_1_1_1	34.628	20.809
ORL	smooth	dec_1_1_1	23.95	11.662
ORL	smooth	dec_1_1_1	27.299	11.662
ORL	smooth	dec_1_1_1	30.857	15.811
ORL	smooth	dec_1_1_1	35.473	15.811
ORL	smooth	dec_1_1_1	30.896	19.313
ORL	smooth	dec_1_1_1	74.193	17.804
ORL	smooth	dec_1_1_1	73.637	17.029
ORL	smooth	dec_1_1_1	74.703	17.029
ORL	smooth	dec_1_1_1	64.588	22.847
ORL	smooth	dec_1_1_1	52.269	12.649
ORL	smooth	dec_1_1_1	51.349	12.649
ORL	smooth	dec_1_1_1	56.125	15.811
ORL	smooth	dec_1_1_1	59.582	20.809
ORL	smooth	dec_1_1_1	73.411	13.454
ORL	smooth	dec_1_1_1	80.995	13.454
ORL	smooth	dec_1_1_1	79.884	10.63
ORL	smooth	dec_1_1_1	76.41	10.63
ORL	smooth	dec_1_1_1	132.193	20.012
ORL	smooth	dec_1_1_1	133.33	20.652
ORL	smooth	dec_1_1_1	43.807	24.187
ORL	smooth	dec_1_1_1	31.487	23.195
ORL	smooth	dec_1_1_1	30.528	19.235
ORL	smooth	dec_1_1_1	32.457	18.111
ORL	smooth	dec_1_1_1	23.361	11.314
ORL	smooth	dec_1_1_1	25.491	11.314
ORL	smooth	dec_1_1_1	36.965	22.672
ORL	smooth	dec_1_1_1	203.349	12.806
ORL	smooth	dec_1_1_1	201.189	12.806
ORL	smooth	dec_1_1_1	204.249	17.029
ORL	smooth	dec_1_1_1	120.39	10.05
ORL	smooth	dec_1_1_1	127.983	10.05
ORL	smooth	dec_1_1_1	118.474	11.402
ORL	smooth	dec_1_1_1	118.767	11.402
ORL	smooth	dec_1_1_1	114.194	14.142
ORL	smooth	dec_1_1_1	34.017	15.62
ORL	smooth	dec_1_1_1	34.961	15.62
ORL	smooth	dec_1_1_1	23.315	10.296
ORL	smooth	dec_1_1_1	23.036	10.296
ORL	smooth	dec_1_1_1	27.911	9.899
ORL	smooth	dec_1_1_1	35.011	9.899
ORL	smooth	dec_1_1_1	30.097	14.036
ORL	smooth	dec_1_1_1	25.27	14.036
ORL	smooth	dec_1_1_1	28.391	15.297
ORL	smooth	dec_1_1_1	23.383	15.297
ORL	smooth	dec_1_1_1	27.011	13.038
ORL	smooth	dec_1_1_1	22.331	13.038
ORL	smooth	dec_1_1_1	24.274	17.692
ORL	smooth	dec_1_1_1	30.168	17.692
ORL	smooth	dec_1_1_1	24.927	12.53
ORL	smooth	dec_1_1_1	22.255	15.652
ORL	smooth	dec_1_1_1	32.74	12.53
ORL	smooth	dec_1_1_1	22.998	13
ORL	smooth	dec_1_1_1	26.28	9.22
ORL	smooth	dec_1_1_1	32.637	9.22
ORL	smooth	dec_1_1_1	45.942	24.413
ORL	smooth	dec_1_1_1	46.433	22.023
ORL	smooth	dec_1_1_1	46.889	18.385
ORL	smooth	dec_1_1_1	51.784	18.385
ORL	smooth	dec_1_1_1	70.984	32.45
ORL	smooth	dec_1_1_1	161.002	22.023
ORL	smooth	dec_1_1_1	151.572	22.023
ORL	smooth	dec_1_1_1	148.541	17.464
ORL	smooth	dec_1_1_1	147.643	17.464
ORL	smooth	dec_1_1_1	142.444	29.155
ORL	smooth	dec_1_1_1	147.744	29.155
ORL	smooth	dec_1_1_1	92.875	10.817
ORL	smooth	dec_1_1_1	91.226	10.817
ORL	smooth	dec_1_1_1	120.8	13.038
ORL	smooth	dec_1_1_1	131.348	13.038
ORL	smooth	dec_1_1_1	60.171	18.248
ORL	smooth	dec_1_1_1	74.354	18.248
ORL	smooth	dec_1_1_1	38.639	17.029
ORL	smooth	dec_1_1_1	31.6	9.055
ORL	smooth	dec_1_1_1	35.754	9.055
ORL	smooth	dec_1_1_1	29.706	15.556
ORL	smooth	dec_1_1_1	33.345	15.556
ORL	smooth	dec_1_1_1	22.639	14.56
ORL	smooth	dec_1_1_1	22.533	13.038
ORL	smooth	dec_1_1_1	28.445	13.038
ORL	smooth	dec_1_1_1	23.617	12.042
ORL	smooth	dec_1_1_1	31.795	12.042
ORL	smooth	dec_1_1_1	20.751	13.153
ORL	smooth	dec_1_1_1	24.921	16.401
ORL	smooth	dec_1_1_1	29.004	17.117
ORL	smooth	dec_1_1_1	21.756	17.029
ORL	smooth	dec_1_1_1	25.294	8.485
ORL	smooth	dec_1_1_1	30.237	8.485
ORL	smooth	dec_1_1_1	36.192	22
ORL	smooth	dec_1_1_1	24.167	12.042
ORL	smooth	dec_1_1_1	23.32	18.868
ORL	smooth	dec_1_1_1	22.577	12.042
ORL	smooth	dec_1_1_1	21.925	12.083
ORL	smooth	dec_1_1_1	22.066	12.083
ORL	smooth	dec_1_1_1	27.425	12.53
ORL	smooth	dec_1_1_1	35.937	19
ORL	smooth	dec_1_1_1	29.493	17.804
ORL	smooth	dec_1_1_1	22.746	15.556
ORL	smooth	dec_1_1_1	22.42	14.866
ORL	smooth	dec_1_1_1	22.097	10
ORL	smooth	dec_1_1_1	20.988	10
ORL	smooth	dec_1_1_1	22.793	16
ORL	smooth	dec_1_1_1	23.716	16
ORL	smooth	dec_1_1_1	32.754	21.587
ORL	smooth	dec_1_1_1	21.745	14.318
ORL	smooth	dec_1_1_1	21.938	14
ORL	smooth	dec_1_1_1	21.06	10
ORL	smooth	dec_1_1_1	25.557	10
ORL	smooth	dec_1_1_1	31.143	22.847
ORL	smooth	dec_1_1_1	23.957	12.806
ORL	smooth	dec_1_1_1	22.482	12.806
ORL	smooth	dec_1_1_1	21.446	15.033
ORL	smooth	dec_1_1_1	20.977	13.153
ORL	smooth	dec_1_1_1	21.45	13.153
ORL	smooth	dec_1_1_1	23.685	15
ORL	smooth	dec_1_1_1	29.29	18.385
ORL	smooth	dec_1_1_1	26.692	18.385
ORL	smooth	dec_1_1_1	26.806	10
ORL	smooth	dec_1_1_1	23.402	10
ORL	smooth	dec_1_1_1	27.175	18
ORL	smooth	dec_1_1_1	25.827	14.866
ORL	smooth	dec_1_1_1	20.502	9
ORL	smooth	dec_1_1_1	21.249	9
ORL	smooth	dec_1_1_1	24.805	12.51
ORL	smooth	dec_1_1_1	33.249	10
ORL	smooth	dec_1_1_1	33.825	10
ORL	smooth	dec_1_1_1	26.326	15.811
ORL	smooth	dec_1_1_1	24.824	15.811
ORL	smooth	dec_1_1_1	31.332	18.028
ORL	smooth	dec_1_1_1	40.284	28.16
ORL	smooth	dec_1_1_1	35.083	24.352
ORL	smooth	dec_1_1_1	22.915	14.036
ORL	smooth	dec_1_1_1	28.734	18.868
ORL	smooth	dec_1_1_1	33.097	21.954
ORL	smooth	dec_1_1_1	19.44	12.806
ORL	smooth	dec_1_1_1	20.431	12.806
ORL	smooth	dec_1_1_1	21.303	11.18
ORL	smooth	dec_1_1_1	26.678	11.18
ORL	smooth	dec_1_1_1	25.61	13.892
ORL	smooth	dec_1_1_1	31.689	12.369
ORL	smooth	dec_1_1_1	39.252	12.369
ORL	smooth	dec_1_1_1	31.815	16.492
ORL	smooth	dec_1_1_1	21.802	14.318
ORL	smooth	dec_1_1_1	19.908	14.318
ORL	smooth	dec_1_1_1	18.513	13.601
ORL	smooth	dec_1_1_1	20.501	14.142
ORL	smooth	dec_1_1_1	25.843	14.142
ORL	smooth	dec_1_1_1	26.366	11.662
ORL	smooth	dec_1_1_1	22.647	11.662
ORL	smooth	dec_1_1_1	27.763	20.248
ORL	smooth	dec_1_1_1	28.49	22.472
ORL	smooth	dec_1_1_1	21.81	13.892
ORL	smooth	dec_1_1_1	20.751	13.892
ORL	smooth	dec_1_1_1	20.951	14.142
ORL	smooth	dec_1_1_1	21.199	16.971
ORL	smooth	dec_1_1_1	28.12	14.422
ORL	smooth	dec_1_1_1	29.964	14.422
ORL	smooth	dec_1_1_1	25.865	20.125
ORL	smooth	dec_1_1_1	25.572	21
ORL	smooth	dec_1_1_1	20.642	12.042
ORL	smooth	dec_1_1_1	32	11.045
ORL	smooth	dec_1_1_1	25.382	11.045
ORL	smooth	dec_1_1_1	20.682	12
ORL	smooth	dec_1_1_1	22.037	12
ORL	smooth	dec_1_1_1	28.08	15.811
ORL	smooth	dec_1_1_1	32.092	13.153
ORL	smooth	dec_1_1_1	24.704	13.153
ORL	smooth	dec_1_1_1	24.827	19.925
ORL	smooth	dec_1_1_1	21.452	12
ORL	smooth	dec_1_1_1	21.739	14.866
ORL	smooth	dec_1_1_1	20.767	14.866
ORL	smooth	dec_1_1_1	29.163	19.799
ORL	smooth	dec_1_1_1	21.045	12
ORL	smooth	dec_1_1_1	20.285	15.811
ORL	smooth	dec_1_1_1	19.708	12.042
ORL	smooth	dec_1_1_1	20.569	14.422
ORL	smooth	dec_1_1_1	20.965	13.601
ORL	smooth	dec_1_1_1	29.471	19.209
ORL	smooth	dec_1_1_1	20.086	16.125
ORL	smooth	dec_1_1_1	25.151	9.434
ORL	smooth	dec_1_1_1	25.034	9.434
ORL	smooth	dec_1_1_1	31.516	15
ORL	smooth	dec_1_1_1	23.413	11.662
ORL	smooth	dec_1_1_1	20.778	11.662
ORL	smooth	dec_1_1_1	24.644	10.817
ORL	smooth	dec_1_1_1	31.154	10.817
ORL	smooth	dec_1_1_1	34.172	21.095
ORL	smooth	dec_1_1_1	26.39	17.263
ORL	smooth	dec_1_1_1	34.095	18.439
ORL	smooth	dec_1_1_1	28.038	17.263
ORL	smooth	dec_1_1_1	22.754	12.53
ORL	smooth	dec_1_1_1	21.609	14.036
ORL	smooth	dec_1_1_1	25.16	19.039
ORL	smooth	dec_1_1_1	30.798	21.471
ORL	smooth	dec_1_1_1	23.551	17.464
ORL	smooth	dec_1_1_1	25.24	16.971
ORL	smooth	dec_1_1_1	34.937	16.971
ORL	smooth	dec_1_1_1	29.275	15.811
ORL	smooth	dec_1_1_1	24.188	14.142
ORL	smooth	dec_1_1_1	23.327	12.53
ORL	smooth	dec_1_1_1	27.366	17.263
ORL	smooth	dec_1_1_1	30.208	14.142
ORL	smooth	dec_1_1_1	57.48	22.204
ORL	smooth	dec_1_1_1	59.939	12.369
ORL	smooth	dec_1_1_1	54.149	12.369
ORL	smooth	dec_1_1_1	51.202	16.279
ORL	smooth	dec_1_1_1	34.604	16.125
ORL	smooth	dec_1_1_1	26.254	12.166
ORL	smooth	dec_1_1_1	24.516	12.166
ORL	smooth	dec_1_1_1	29.009	15
ORL	smooth	dec_1_1_1	24.946	15
ORL	smooth	dec_1_1_1	30.14	14.318
ORL	smooth	dec_1_1_1	23.215	14.318
ORL	smooth	dec_1_1_1	81.135	16.643
ORL	smooth	dec_1_1_1	79.088	16.643
ORL	smooth	dec_1_1_1	49.667	16.643
ORL	smooth	dec_1_1_1	51.79	16.643
ORL	smooth	dec_1_1_1	52.113	18.248
ORL	smooth	dec_1_1_1	120.681	20.1
ORL	smooth	dec_1_1_1	117.351	20.1
ORL	smooth	dec_1_1_1	101.303	14.765
ORL	smooth	dec_1_1_1	101.418	14.765
ORL	smooth	dec_1_1_1	104.735	18.028
ORL	smooth	dec_1_1_1	22.607	0
ORL	smooth	dec_1_1_1	22.607	0
ORL	smooth	dec_1_1_1	29.832	19.105
ORL	smooth	dec_1_1_1	21.982	13.601
ORL	smooth	dec_1_1_1	23.948	16.401
ORL	smooth	dec_1_1_1	21.263	16.125
ORL	smooth	dec_1_1_1	19.345	11.705
ORL	smooth	dec_1_1_1	20.263	11.705
ORL	smooth	dec_1_1_1	19.558	12.806
ORL	smooth	dec_1_1_1	18.188	11.402
ORL	smooth	dec_1_1_1	17.276	11.402
ORL	smooth	dec_1_1_1	16.781	8.944
ORL	smooth	dec_1_1_1	20.775	16.125
ORL	smooth	dec_1_1_1	21.195	17.205
ORL	smooth	dec_1_1_1	18.908	13.342
ORL	smooth	dec_1_1_1	20.591	11.314
ORL	smooth	dec_1_1_1	20.275	11.314
ORL	smooth	dec_1_1_1	21.559	13.928
ORL	smooth	dec_1_1_1	21.156	10.198
ORL	smooth	dec_1_1_1	22.306	10.198
ORL	smooth	dec_1_1_1	28.936	19.416
ORL	smooth	dec_1_1_1	38.228	19.416
ORL	smooth	dec_1_1_1	28.603	17.889
ORL	smooth	dec_1_1_1	23.198	17.889
ORL	smooth	dec_1_1_1	27.913	12.042
ORL	smooth	dec_1_1_1	22.547	12.042
ORL	smooth	dec_1_1_1	17.378	11.705
ORL	smooth	dec_1_1_1	16.504	12
ORL	smooth	dec_1_1_1	21.959	0
ORL	smooth	dec_1_1_1	21.959	0
ORL	smooth	dec_1_1_1	24.139	17
ORL	smooth	dec_1_1_1	26.289	19.647
ORL	smooth	dec_1_1_1	22.244	12.806
ORL	smooth	dec_1_1_1	23.691	12.369
ORL	smooth	dec_1_1_1	26.576	12.369
ORL	smooth	dec_1_1_1	26.919	9.487
ORL	smooth	dec_1_1_1	28.245	9.487
ORL	smooth	dec_1_1_1	35.117	15.62
ORL	smooth	dec_1_1_1	20.458	14.765
ORL	smooth	dec_1_1_1	25.835	20
ORL	smooth	dec_1_1_1	17.135	12.806
ORL	smooth	dec_1_1_1	16.618	8.944
ORL	smooth	dec_1_1_1	16.397	11.662
ORL	smooth	dec_1_1_1	15.72	11.662
ORL	smooth	dec_1_1_1	21.126	13.892
ORL	smooth	dec_1_1_1	20.163	13.892
ORL	smooth	dec_1_1_1	19.284	13.153
ORL	smooth	dec_1_1_1	22.736	13.153
ORL	smooth	dec_1_1_1	17.658	15
ORL	smooth	dec_1_1_1	18.478	10.296
ORL	smooth	dec_1_1_1	22.239	14.866
ORL	smooth	dec_1_1_1	27.256	14.866
ORL	smooth	dec_1_1_1	32.483	11.402
ORL	smooth	dec_1_1_1	26.009	11.402
ORL	smooth	dec_1_1_1	18.803	9.055
ORL	smooth	dec_1_1_1	18.496	9.055
ORL	smooth	dec_1_1_1	130.886	17.464
ORL	smooth	dec_1_1_1	118.594	24.021
ORL	smooth	dec_1_1_1	121.997	17.464
ORL	smooth	dec_1_1_1	33.714	10.817
ORL	smooth	dec_1_1_1	26.312	10.817
ORL	smooth	dec_1_1_1	23.272	16.031
ORL	smooth	dec_1_1_1	21.09	10.44
ORL	smooth	dec_1_1_1	21.987	10.44
ORL	smooth	dec_1_1_1	31.789	21
ORL	smooth	dec_1_1_1	23.838	15
ORL	smooth	dec_1_1_1	32.859	15
ORL	smooth	dec_1_1_1	21.574	15.033
ORL	smooth	dec_1_1_1	20.257	9.22
ORL	smooth	dec_1_1_1	22.102	9.22
ORL	smooth	dec_1_1_1	29.774	15.264
ORL	smooth	dec_1_1_1	27.5	10.817
ORL	smooth	dec_1_1_1	31.179	10.817
ORL	smooth	dec_1_1_1	21.512	12
ORL	smooth	dec_1_1_1	23.392	12
ORL	smooth	dec_1_1_1	24.103	18.601
ORL	smooth	dec_1_1_1	22.311	17.029
ORL	smooth	dec_1_1_1	23.72	11.705
ORL	smooth	dec_1_1_1	20.273	10.44
ORL	smooth	dec_1_1_1	22.486	10.44
ORL	smooth	dec_1_1_1	27.543	13.601
ORL	smooth	dec_1_1_1	21.437	8.544
ORL	smooth	dec_1_1_1	26.145	8.544
ORL	smooth	dec_1_1_1	31.638	15.811
ORL	smooth	dec_1_1_1	23.807	12.53
ORL	smooth	dec_1_1_1	22.629	12.53
ORL	smooth	dec_1_1_1	23.152	12.806
ORL	smooth	dec_1_1_1	33.502	12.207
ORL	smooth	dec_1_1_1	28.679	12.207
ORL	smooth	dec_1_1_1	21.76	6.325
ORL	smooth	dec_1_1_1	21.759	6.325
ORL	smooth	dec_1_1_1	27.637	11.045
ORL	smooth	dec_1_1_1	28.276	24.207
ORL	smooth	dec_1_1_1	20.771	9.22
ORL	smooth	dec_1_1_1	22.738	9.22
ORL	smooth	dec_1_1_1	32.895	24.207
ORL	smooth	dec_1_1_1	50.674	13.454
ORL	smooth	dec_1_1_1	52.216	10.77
ORL	smooth	dec_1_1_1	67.352	19.235
ORL	smooth	dec_1_1_1	47.966	10.77
ORL	smooth	dec_1_1_1	94.15	15.811
ORL	smooth	dec_1_1_1	106.852	15.811
ORL	smooth	dec_1_1_1	30.205	10.05
ORL	smooth	dec_1_1_1	26.474	10.05
ORL	smooth	dec_1_1_1	21.031	12.53
ORL	smooth	dec_1_1_1	24.613	12
ORL	smooth	dec_1_1_1	31.075	12
ORL	smooth	dec_1_1_1	21.582	12.53
ORL	smooth	dec_1_1_1	22.597	9.055
ORL	smooth	dec_1_1_1	21.669	14.142
ORL	smooth	dec_1_1_1	30.794	18.788
ORL	smooth	dec_1_1_1	26.179	16.401
ORL	smooth	dec_1_1_1	23.021	9.055
ORL	smooth	dec_1_1_1	19.388	15.62
ORL	smooth	dec_1_1_1	19.7	13.038
ORL	smooth	dec_1_1_1	21.035	12.083
ORL	smooth	dec_1_1_1	26.296	12.083
ORL	smooth	dec_1_1_1	25.227	11.18
ORL	smooth	dec_1_1_1	31.424	11.18
ORL	smooth	dec_1_1_1	25.758	16.643
ORL	smooth	dec_1_1_1	33.499	16.643
ORL	smooth	dec_1_1_1	31.228	26.173
ORL	smooth	dec_1_1_1	22.395	10.44
ORL	smooth	dec_1_1_1	24.269	12.166
ORL	smooth	dec_1_1_1	31.029	12.166
ORL	smooth	dec_1_1_1	20.574	10.44
ORL	smooth	dec_1_1_1	88.844	18.358
ORL	smooth	dec_1_1_1	82.725	18.358
ORL	smooth	dec_1_1_1	83.036	18.439
ORL	smooth	dec_1_1_1	56.28	14.866
ORL	smooth	dec_1_1_1	61.332	14.866
ORL	smooth	dec_1_1_1	31.284	16.492
ORL	smooth	dec_1_1_1	33.836	16.125
ORL	smooth	dec_1_1_1	25.087	16.125
ORL	smooth	dec_1_1_1	23.584	10
ORL	smooth	dec_1_1_1	28.851	10
ORL	smooth	dec_1_1_1	21.858	15.297
ORL	smooth	dec_1_1_1	24.36	21.401
ORL	smooth	dec_1_1_1	22.379	15.652
ORL	smooth	dec_1_1_1	30.142	17.464
ORL	smooth	dec_1_1_1	23.809	11.662
ORL	smooth	dec_1_1_1	21.088	11.402
ORL	smooth	dec_1_1_1	21.922	11.402
ORL	smooth	dec_1_1_1	28.043	12.649
ORL	smooth	dec_1_1_1	24.497	11.18
ORL	smooth	dec_1_1_1	28.351	11.18
ORL	smooth	dec_1_1_1	39.718	21.633
ORL	smooth	dec_1_1_1	18.808	11.662
ORL	smooth	dec_1_1_1	31.658	13.928
