microns,grit1,grit2,preference,trialdate
40.5,smooth,P360,0.463636364,nov23
40.5,smooth,P360,0.413092551,nov23
40.5,smooth,P360,0.356913183,nov23
40.5,smooth,P360,0.558589306,nov24
40.5,smooth,P360,0.367977528,nov24
40.5,smooth,P360,0.542012927,dec7
40.5,smooth,P360,0.496919918,dec7
40.5,smooth,P360,0.549800797,dec7
40.5,smooth,P360,0.282398453,dec14
40.5,smooth,P360,0.198480532,dec14
40.5,smooth,P360,0.133891213,dec14
40.5,smooth,P360,0.319047619,dec15
40.5,smooth,P360,0.501057082,dec15
40.5,smooth,P360,0.297196262,dec22
40.5,smooth,P360,0.561818182,dec22
40.5,smooth,P360,0.45520362,dec22
40.5,smooth,P360,0.471929825,dec22
40.5,smooth,P360,0.500515996,dec23
40.5,smooth,P360,0.491525424,dec23
40.5,smooth,P360,0.349177331,dec23
40.5,smooth,P360,0.257518797,dec23
46.2,smooth,P320,0.640535373,nov10
46.2,smooth,P320,0.814651368,nov10
46.2,smooth,P320,0.625242718,nov10
46.2,smooth,P320,0.039485767,nov17
46.2,smooth,P320,0.566473988,nov17
46.2,smooth,P320,0.452954048,nov23
46.2,smooth,P320,0.413436693,nov23
46.2,smooth,P320,0.666666667,nov24
46.2,smooth,P320,0.692307692,nov24
46.2,smooth,P320,0.563348416,dec1
46.2,smooth,P320,0.455867082,dec1
46.2,smooth,P320,0.762998791,dec1
46.2,smooth,P320,0.443207127,dec14
46.2,smooth,P320,0.498525074,dec14
46.2,smooth,P320,0.649694501,dec14
46.2,smooth,P320,0.563758389,dec15
46.2,smooth,P320,0.315508021,dec15
46.2,smooth,P320,0.612456747,dec15
46.2,smooth,P320,0.655049151,dec22
46.2,smooth,P320,0.569837189,dec22
46.2,smooth,P320,0.51450677,dec22
46.2,smooth,P320,0.365319865,dec22
46.2,smooth,P320,0.579831933,dec23
46.2,smooth,P320,0.360957643,dec23
46.2,smooth,P320,0.447342995,dec23
68,smooth,P220,0.567010309,oct26
68,smooth,P220,0.572123177,oct26
68,smooth,P220,0.404135338,nov16
68,smooth,P220,0.707536558,nov16
68,smooth,P220,0.249466951,nov23
68,smooth,P220,0.683602771,nov23
68,smooth,P220,0.495448635,nov24
68,smooth,P220,0.424390244,nov24
68,smooth,P220,0.513459621,nov24
68,smooth,P220,0.574215437,dec7
68,smooth,P220,0.257315843,dec7
68,smooth,P220,0.547325103,dec7
68,smooth,P220,0.589692765,dec14
68,smooth,P220,0.472196041,dec14
68,smooth,P220,0.508571429,dec14
68,smooth,P220,0.208596713,dec15
68,smooth,P220,0.699788584,dec15
68,smooth,P220,0.440677966,dec15
68,smooth,P220,0.666963491,dec22
68,smooth,P220,0.410129096,dec22
68,smooth,P220,-0.010351967,dec22
68,smooth,P220,0.646718147,dec22
68,smooth,P220,0.391822828,dec23
68,smooth,P220,0.375332742,dec23
68,smooth,P220,-0.284688995,dec23
82,smooth,P180,0.711060948,nov11
82,smooth,P180,0.823587711,nov11
82,smooth,P180,0.808731809,nov11
82,smooth,P180,0.416583417,nov30
82,smooth,P180,0.623578077,nov30
82,smooth,P180,0.722507708,nov30
82,smooth,P180,0.608370703,dec1
82,smooth,P180,0.811735941,dec1
82,smooth,P180,0.557800224,dec1
82,smooth,P180,0.269617706,dec8
82,smooth,P180,0.697409326,dec8
82,smooth,P180,0.768355739,dec8
82,smooth,P180,0.601895735,dec15
82,smooth,P180,0.647702407,dec15
82,smooth,P180,0.524012807,dec15
82,smooth,P180,0.524429967,dec22
82,smooth,P180,0.609561753,dec22
82,smooth,P180,0.556492411,dec22
82,smooth,P180,0.716177862,dec22
82,smooth,P180,0.166144201,dec23
82,smooth,P180,0.55774926,dec23
82,smooth,P180,0.605189991,dec23
92,smooth,150,0.882129278,nov2
92,smooth,150,0.791596639,nov2
92,smooth,150,0.688792165,nov30
92,smooth,150,0.42173913,nov30
92,smooth,150,0.805620609,nov30
92,smooth,150,0.87020649,dec1
92,smooth,150,0.915437561,dec1
92,smooth,150,0.70074813,dec1
92,smooth,150,0.549171271,dec8
92,smooth,150,0.507246377,dec8
92,smooth,150,0.849462366,dec8
92,smooth,150,0.758139535,dec14
92,smooth,150,0.746907707,dec14
92,smooth,150,0.685224839,dec14
92,smooth,150,0.555153707,dec22
92,smooth,150,0.75842235,dec22
92,smooth,150,0.656165617,dec22
92,smooth,150,0.750909091,dec22
92,smooth,150,0.802592223,dec23
92,smooth,150,0.455582722,dec23
92,smooth,150,0.699346405,dec23
115,smooth,120,0.71761658,nov10
115,smooth,120,0.824531516,nov10
115,smooth,120,0.758754864,nov10
115,smooth,120,0.703703704,nov11
115,smooth,120,0.832061069,nov11
115,smooth,120,0.773081201,nov24
115,smooth,120,0.746753247,nov24
115,smooth,120,0.593094945,nov24
115,smooth,120,0.664399093,dec7
115,smooth,120,0.762004175,dec7
115,smooth,120,0.880294659,dec7
115,smooth,120,0.323671498,dec22
115,smooth,120,0.841269841,dec22
115,smooth,120,0.928802589,dec22
115,smooth,120,0.557418273,dec22
115,smooth,120,0.683333333,dec23
115,smooth,120,0.826271186,dec23
115,smooth,120,0.826966292,dec23
190,smooth,80,0.989208633,oct26
190,smooth,80,0.996644295,oct26
190,smooth,80,0.982758621,nov2
190,smooth,80,0.81184669,nov2
190,smooth,80,0.915273133,nov24
190,smooth,80,0.850980392,nov24
190,smooth,80,0.9574845,dec7
190,smooth,80,0.958115183,dec7
190,smooth,80,0.964071856,dec7
